s0019	b0694	s0060	b0499	s0170	b0339	s0050	s0103	s1551	b0241	s0200	s0033	s0047	s0040	b0671	s0154	b0370	s0080	b0668	s0100	s0035	b0679	s0037	b0627	s0106	b0421	b0334	b0165	s0168	s0181	b0551	s0059	b0428	s0205	s0107	s0077	b0341	b0374	s0046	s0176	s0190	b0542	s0177	b0326	b0354	b0502	b0252	b0243	s0025	b0404	s0086	b0566	s0026	b0521	s0146	b0434	s0104	b0772	b0626	b0565	s0162	s0350	b0629	b0251	s0006	s0067	b0556	b0336	s0132	s0141	s0183	s0001	b0383	b0427	s0109	s0204	s0055	b0340	s0018	s0088	b0318	b0512	b0664	s0116	b0672	b0519	b0574	s0042	s0004	b0504	s0138	s0071	b0515	s1511	b0494	s0229	s1616	s0175	b0387	s0087	b0344	b0394	b0338	b0382	s0084	b0433	b0305	b0554	s0201	b0359	s0195	b0244	s0210	b0327	s0013	s0101	b0667	s0136
CDC20	-0.492404222604924	0.0308425496629339	-0.469747041644207	-0.859259979749233	-1.0800792652184	-0.999134545200484	-0.21402440419662	-0.883978187763074	-0.22756930459027	-0.78514064726684	-1.11537082434724	-0.662438954487683	-1.33493373031141	-1.29923278909668	-0.343099752554446	-0.224061323612863	-0.561921535776916	-0.270265032824343	-0.56094748874496	-0.424602079206593	-1.88624435039853	-1.30454063958965	-0.318713285196416	-1.6949640999202	-0.683811522696109	-1.29626829812985	-0.601864522398939	-0.392112669872582	-0.354273060174638	-0.470636388934254	0.513680486728268	0.848519741430893	-0.498841402990024	-0.109229648519438	0.125515686181965	-0.223171976322817	-0.207213133284754	-0.580619003803376	-0.798374981940155	0.28853445610991	-0.200472445491146	-0.266961742889883	-1.13161905817016	-0.429408789559941	0.241610799092202	0.287059268938325	-0.77136282258294	-0.0521349641607981	-0.0162646234622435	-1.15196817116385	-1.77164559959535	-1.18633509144351	-1.6356883972074	-1.58179818641766	-1.14657562092896	-1.43898736324689	-1.12317025891471	-1.88927942448361	-1.49563031564868	-1.93330917365275	-2.33157441842173	-0.827257593931199	0.199959701008344	0.749830425483	0.632034259422752	1.20668671671768	1.71084075549684	-0.0377148331007539	-0.37703611581274	1.26828460402116	1.45257712579197	0.045933220346427	0.359950455163035	0.364552474473436	0.884721822785259	0.766368050090775	1.62374118756686	0.333051228795031	1.93162474940687	0.518635421629958	-0.0204007941921439	1.00064753621168	-0.193357667170771	0.557039696273964	0.632246008777525	0.505824585666188	0.245492870596376	0.303928634201911	-0.163501008147771	0.000894132586199175	0.976783383928755	0.523639764714428	1.01674754548626	0.481487526490939	1.24815429869407	1.75283771086016	2.47123268848686	1.0853472781209	1.14690987386525	1.17318091048076	-0.27759156049949	0.229936351332382	0.00811478558396015	0.526519555939341	0.96810166038306	0.255000416625686	0.218678343970281	0.172756967231832	1.03161235019132	1.62931725390921	1.33035539821697	1.43147277343292	1.77867113214247	1.47996337567595	1.09516538987054	1.91108506199388	0.709830972366371	1.39660471301363
DLG7	-0.496983916498158	-0.755105382979433	-0.996459676779567	-0.712129420855557	-1.05904953020617	-1.56164719190925	-0.639917658487991	-0.104800981064326	-0.897061751575855	-0.224268272550218	-1.2835227825803	-1.30196951924818	-0.569964292893551	-0.791182796977	-0.120809028779711	-0.00675050267483227	-0.11871194606181	0.0634116222851911	-0.296394633359136	0.287657137169593	-1.62588814213638	-0.67474251629206	-0.684089242432934	-1.44629815336259	-1.01998306165594	-0.567762830492858	-1.19395552568313	-0.306538440714054	-0.788668195527932	0.297734521090008	0.244140298507614	0.149762087139967	0.0346123188968124	-0.0484264632948513	-0.991753101991877	-0.436045159872073	-0.014664380442841	0.133203673824408	-0.436661948906751	-0.503018959975921	-0.872523037057783	0.19456943824373	-0.444708673543767	0.0963481567369408	-0.595205198004947	1.12986833042788	-0.85579382062493	-0.461390444666261	-0.729911923178396	-1.26871984574805	-1.51184859415564	-0.914711407029688	-1.65768598913949	-1.38274041560464	-0.888502617586953	-1.16488103949467	-0.863736165579155	-1.99010681164416	-1.9078461325424	-1.756002161267	-2.23154650700294	-0.199729558032147	0.0537138008476545	-0.111196608900822	-0.263951530135128	1.01427257626735	-0.304934789223894	0.222770930721575	0.232051233427946	2.15237170305329	2.60238098275361	0.203489156591366	1.45413804861275	1.48147603644204	1.15707347138818	0.208176753254912	0.754224830185467	0.417960937541656	-0.00996729471722404	1.05880474457103	0.574046519563217	0.770878134121745	0.251038846633925	0.67631963057473	2.15558849509568	0.520936239146494	0.484374882983257	-0.557097124723983	0.318724326393168	0.657588222044694	0.898268792437719	0.767044553044676	0.236643939470771	0.815135119625336	0.888912577234773	1.43359422922697	0.623285262654583	0.544924588064392	0.985264513513387	-0.0721016731643746	0.327757913485667	-0.640989922502122	-0.0995630188006079	0.312214829811808	0.938758620298743	-0.236120111078089	0.448126665868396	0.617696205094202	1.09108653373981	1.57029365743553	1.49979941530299	2.67898618086048	1.34656055190301	1.547937427194	0.563826799711723	2.46642170138666	1.13883549408588	0.873654165423072
TPX2	-0.44126936398016	-1.31125222947564	-0.819408954005847	-0.879615510563526	-1.24333217704976	-1.18766738691569	-0.94117333647038	-0.591269645553492	-1.06198995362751	-1.0195375749076	-1.56569437116228	-0.932587145814165	-0.866337412444898	-1.10336319363106	-0.0908683308722567	-0.170302324210903	-0.211544190805511	-0.00853473872183895	-0.383408761153687	-0.108950942232396	-1.46625408440391	-1.41766469072316	-0.60349675640054	-0.165676103452964	-0.646943819502481	0.0302485683624645	-0.506561948227095	-0.577935244545316	-0.614785485755105	0.17126853905274	0.0614591368024339	0.0532482987432108	0.0530043195551663	-0.575523604109636	-0.73705659422558	-0.630897495981031	-0.0708338860077546	0.0277993926670845	-0.892734083828432	-0.466277230754819	-0.669690186880259	-0.113183042763492	0.388851055714664	0.0470080618182015	0.359432795925337	0.196332708716948	-0.878892956814314	-0.106877119134008	-0.829252575861988	-1.51099611396547	-1.40725803997153	-0.581078822545133	-1.21524641897975	-1.50884722034769	-1.08320675917254	-1.32827446974928	-0.884560781028909	-2.46376299472777	-2.1717386742672	-1.68500019411651	-2.12423780311774	-0.299264092722778	0.475829636252872	-0.433931220708947	0.325435234452695	0.55268308048719	0.399661210508064	0.483561899750927	0.642504956947619	1.18954383180524	2.9445518181207	0.960616282899198	1.09278731611536	1.44562814110372	0.801063277732392	1.02626545211328	-0.0733018293329836	0.191049620914272	1.41821801770831	1.33144588109845	0.545288634326428	1.30381054614483	0.43609856386116	-0.123017280804708	0.575870487166434	0.244387224946978	-0.655079587042305	-0.0717159646106881	0.0970144115525963	0.995533458234473	0.801945356335326	0.270905885924536	0.505904763086937	0.571948052527858	1.48208426208667	0.994210340330073	1.47026065528139	1.32001639452001	1.1994719079957	0.451366030743851	-0.343283568535134	-0.675470616873951	-0.24001468528743	0.820994500632722	1.81886937973865	0.445932801902378	1.13462974686516	0.909258663815628	0.399070030167799	0.838129346685453	0.991986376192889	1.51352004208483	2.17489131798652	1.55368276996308	1.7302861668483	1.11324403265148	1.40311945949426	1.00470144541603
BUB1	-0.788307809225794	-0.593909615942354	0.0204068059343397	-0.849876399091422	-0.87047641600135	-0.772491316841766	-0.645129976339653	-0.87359149346479	-0.66999273083113	-0.738910203133728	-1.14418853206908	-0.500592310876593	-0.738032580690468	-0.969715261508449	-0.0733734208597345	-0.488836027817977	-0.401970694340577	-0.128084982624727	-0.297765084456787	-0.17677856192165	-1.02687645075243	-1.0971730440373	-0.914945834527418	-0.912322611400311	-1.04934744298096	-0.376567864499401	-0.697401554828329	-0.384418245475376	-0.768479328529721	-0.401179869721376	0.225095363470071	-0.271012066241365	-0.39934747121347	-0.445466048396653	-0.929093879848984	-0.281331363101675	-0.35686475843808	-0.0596497204557892	-0.720113652123685	-1.0037592969448	-1.15332159200059	-0.512589699002038	-0.546614446033043	0.0767868147617937	0.0199245958006806	0.188360595487899	-0.219936368884165	-0.688702484017114	-0.707817293715371	-1.04593339523465	-1.13102419542018	-0.858045038755612	-0.991588313171239	-0.984326228558328	-1.47544760548773	-1.27043114506111	-1.11288345019192	-1.41100504322549	-1.59473674835238	-1.49970277521079	-1.47831193368166	-0.798357068411255	0.212220352901365	-0.486097074258792	0.211834584794438	-0.530836530459709	-0.146245016258339	0.0613464462820209	0.0268587775227028	1.3570643638301	2.8740202907011	0.531105914290309	0.743500189761916	1.1638041864621	1.60421634573588	1.49575764247321	0.663520816993172	0.155917497695297	0.506387822838929	0.847811885875111	0.303589529027143	-0.142416267797084	0.833731349972258	1.85506205726548	0.254693421474083	0.666095819106913	-0.314873899999022	0.463172150660376	0.266845116842299	1.01211052261553	0.939557185905143	0.065300569378028	0.738562357993243	0.610632009533412	1.73934126938991	1.91312980156074	1.10953625802007	2.80068577357419	0.367135180440776	-1.06645625852319	0.141171511807993	-0.525300758125299	-0.899129342143391	0.0744722061202289	0.722929105460006	0.041633696018026	1.18912021847922	0.66057933517785	0.115402202265237	1.35638926964298	2.3598782019908	1.26874275574905	2.24535329524671	1.74260100989344	1.83999781268996	1.53708305092782	1.2151306330888	1.9738979226045
TTK	-0.2734844926285	-1.12693016533404	-0.421490899980305	-0.978813640019603	-1.64826792829759	-0.716551980863987	-0.916754302505348	-0.808358899427534	-0.212801629647198	-0.31400003730986	-0.918815081520396	-0.858840119727469	-1.11767239090384	-0.903752517345517	-0.204794480649794	0.311973386864345	0.00384759627075428	-0.276434080913398	-0.913238393269749	-0.577488725191994	-1.41654040706723	-1.01036243631487	-1.2735207703091	-1.49875133174391	-0.832325287438425	-0.146313976921216	0.313971241329316	0.204215094856069	-0.0518878239606792	0.152278744335584	0.44984107608486	0.455700924810858	0.26234951355922	0.0319591390180231	0.21838098419234	-0.6513542814146	-0.227337200715175	-0.0911055497966836	-0.805826186286901	-0.717889127553141	-1.25239385262047	-1.04387762480007	-0.903217658669855	-0.835227682310766	0.516147820729368	0.0976130414554741	-0.556283151815766	-0.0703640449772804	-0.114025817162531	-1.3117631656189	-1.16134989422661	-0.868593424989532	-1.65502445186219	-1.46643170971019	-1.3560777800112	-1.59548996191981	-1.73511167297374	-1.39547641392868	-1.57120895115853	-1.24265627849592	-1.71868049983467	-0.693969932954808	-0.141036180283438	0.916819893349921	0.673726625261763	-0.0807151334650827	-0.510544869477947	-0.00872944817605064	1.03013914247132	0.755221783181306	2.59169837390891	0.612343726660844	0.890918575424135	-0.0247358806020979	0.267352015290407	1.31359850943441	0.25858977169207	-0.23732647304003	0.256206504357873	0.115404957989979	-0.497291386117805	0.185038838219852	0.723602196767198	1.38630782704933	0.548970839163714	0.375692359386903	0.279291948667675	0.341681640069838	-0.305638937718269	0.606507474641126	0.56846958411908	0.779896072380573	0.322049180445557	0.911148818274157	0.792048376114352	1.92754547897499	1.9485780098385	2.08801881281096	1.86130165888056	-0.66091094745767	-0.486720061704731	-0.213226370360223	0.511105991154383	0.410930107430485	1.90676464631179	0.764573944436623	0.420958707599138	1.32114158987499	0.016739263467949	1.7471722561769	1.89829342875756	1.30475761014847	2.04489976487013	1.05548987058393	1.65053587839488	1.43775651230672	1.32218771052003	1.46604896313546
CENPF	-0.640393744087223	-0.695179989218649	-1.29610313463658	-0.303508665100595	-1.46960729047799	-1.27719876448799	-0.879257938302401	-0.54478863075464	-0.333408629853861	-0.858541739574665	-1.83852051381879	-0.664033793167555	-1.02038883958409	-0.873362305624216	0.453749403432519	0.0735625800436774	0.055568917381965	0.0646664058561068	-1.4803728116123	0.19485923090071	-1.18827536819068	-0.657572563208048	-0.306844730420934	-0.757635350029015	-0.631689297791626	-0.525922606184448	-0.323688025730805	-0.892477576453974	0.0628354044877595	0.844471674485303	-0.0726970423483038	0.0507661336880285	0.226465573892539	0.210350844572167	-0.849118313684168	-0.00640712369846755	0.457027950385266	0.506608783249611	-1.44922661556121	-1.57604502970707	-1.25692353991179	-0.168139186972708	0.275346599951182	-0.0706072083257918	-0.00111543387999848	-0.0507058531389438	-0.81394583190163	-0.846309500066756	-0.346522817664848	-1.55368955750297	-0.812229867268467	-0.897625470353462	-1.17959968107888	-1.36507724377404	-1.48501262659806	-1.44915951079902	-1.58321565286688	-1.6200178217312	-1.04341535941011	-2.53100331404866	-2.39506823863945	0.363071696923654	0.831127413203949	-0.148074863077682	0.21222019151891	0.373616730982197	0.723299646758056	0.897426918248384	1.90863816609499	1.10545168103962	1.40351186190162	0.672079540417336	0.0216905988702487	0.97883458118033	1.81517081875791	1.30614285196288	-0.0942089118277296	-0.460418771891703	0.711987701131619	1.07914661426086	0.863452735790679	0.425852995150376	0.746632931211229	0.306416104845487	0.553467080047934	0.071971238540298	-0.188836212911248	-0.22910865662028	-0.425754369022895	0.436072091792562	0.662263072348294	0.848354164297768	0.321984409673735	0.782025900069536	0.88269262975022	2.27579707922423	1.4397963654576	0.732790177410744	1.39883370133747	1.11917939810493	0.278577214930936	-0.460054488896953	-0.527312633401256	0.451161076890877	-0.0286187999835973	0.711316653509711	0.112770933952258	-0.14599461544977	0.485882998127276	1.42414178307797	1.82188129497698	1.08712249456696	1.5041977643715	1.78737027442175	1.52176962567087	1.98839696915596	1.23460917546757	1.43355562257387
NEK2	0.249748614300722	-0.612483680062352	-0.723396263991718	-0.641280581572107	-1.28387369876345	-1.23424818437718	-0.370931709149188	-0.759738359163043	-0.729134489545085	-0.269856083311309	-1.49617041528087	-1.07014022223803	-1.14350312743108	-0.281588154296764	0.493178069150701	0.150048047120792	0.770543266520594	0.0673682380722778	-0.335056781342424	0.425209624846534	-0.831461771340842	-1.05898109236006	-0.805309213404068	-1.34536350131381	-0.740716714394738	0.183613581540488	-0.019498448300121	-0.254809768381052	0.545060090052573	0.105579002701842	-0.0690446323791932	0.913998905354768	0.372692961487148	0.609396969183182	-0.97859304774146	0.290400989496004	0.700441718400889	0.841896470598176	-0.560143306274498	-1.14668515419723	-0.748402939713534	-0.396061787571077	0.312957240173525	0.225491169257917	-0.134879972867824	-0.187802102241734	-1.64695970029078	-0.982057137822064	-0.488578554711077	-1.32459658978734	-1.30397952439667	-0.764339516980028	-0.876627159567343	-0.643863223795051	-0.0177267381062248	-1.29693675601397	-2.03572227791175	-1.97717651120597	-1.1755525715356	-2.52838111451511	-2.40989689348845	0.138950618592852	0.809617850050665	0.228144327309474	0.439427378790591	-0.219287419717351	-0.278088806301854	0.854430659134102	1.6028151482018	1.25866264665701	1.27537489803824	0.60052960373512	0.605862363273964	1.32435695548841	1.92646517257742	1.55080972459986	1.19525128777694	-0.428005457932677	0.541948579115033	1.29479319434249	0.727563868981089	1.00856944600312	1.38713367191096	1.2156479912032	-0.259287523497965	1.20077796584447	-0.653206571086247	-0.696150710711446	-0.433585022871666	-0.373690640943665	0.191185218637787	0.368162319498775	-0.245008068203872	0.81592901671151	0.501516565884165	2.35050329346195	1.22267313062875	1.27808094296126	0.650534140700176	-1.65436386229512	-0.255153533045539	-1.02938207329983	-0.76944310007588	-0.145757039431349	-0.339252473144886	0.612499665642145	0.402256722633066	-0.283024914304751	-0.202046299621521	-0.00297130096899496	1.43545464346789	0.908851249866034	2.18004009226907	1.68669372633673	1.18786475472975	2.20137113042444	0.232419349419125	1.29846001743036
CDC2	-0.224494797096596	-0.721445736362609	-0.551551739777026	-0.941608660253531	-1.04300773298564	-0.865400217573315	-0.307237264219853	0.166816506295908	-0.726332213095084	-0.129685915206753	0.237586169317948	-0.344381976239887	-0.794190584424021	-0.493054434985394	0.158644295208839	-0.0141984373359959	0.0570299179463714	-0.0707205570882554	0.104780718353174	0.417402896433077	-1.96629908662676	-0.998982637060685	-0.536817421047304	-1.68684316728854	-0.622040570802947	-0.0966413503300581	-0.41350409155136	-0.709145294932588	-0.149287988535873	0.0224501381575601	-0.171249050632395	0.125094232739131	0.277904282894129	0.147785458025562	-0.717354950285806	-0.553143121088368	0.361517329205353	0.404465902478518	-0.616657957543996	-0.400398598399131	-0.195091687102916	-0.494177762969872	0.013351181483298	0.0543807361163141	-0.270841437522803	1.60610856960646	-1.87720045532467	-0.920078207217724	-0.0870556181958562	-0.838842871806976	-1.19362729357091	-0.655946353801073	-1.37970657419949	-1.38621251544292	-1.2063208997955	-1.39369200760623	-1.49691648831311	-2.13649263734154	-1.46016494108765	-3.53942631822119	-3.45290198021686	0.79519681974571	0.65066195240969	-0.278002653423842	1.52270146675905	0.614406541710701	0.714579314726421	0.822634105766555	1.3970759538284	1.73014270122577	1.00190789102252	1.13014514151709	0.387232178983337	1.05286017618508	1.48750385657878	1.61228687352108	0.844791750260361	0.217441154129663	-0.310803830570566	0.476181033220827	0.348926694712677	0.787146302523626	0.16364310473976	1.59216058046587	0.232166111792846	0.785405144147686	-0.301171293103678	-0.370181075616704	0.29517545065546	0.282687787894693	0.553859163347399	-0.083526496111292	0.114825142747705	1.07883713582611	0.963162436624608	0.745208724436491	0.9313441714643	-0.111946694118556	1.47982778201819	-1.21624363032504	-0.627338934463063	0.202557058335345	-0.507067951591744	1.62295848937361	0.786154029470671	0.634645167564359	-0.524414007885373	1.68446069652372	0.111651741191558	1.1290686188653	1.22967200094174	0.536625439852217	1.75448147422277	1.0133190311315	1.44940431577194	0.468645374658294	0.262683188704467	1.32729856385931
TOP2A	-0.690415317233021	-0.479534779803643	-0.0694573074491092	-0.242873557884524	-0.658265113500613	-0.431449706957765	0.526753311812589	-0.206110434654238	-0.277916984726002	0.0960985281619233	-1.250372079577	-0.144924670434388	-0.482317292844762	-0.652884604198289	0.13824954136573	-0.145087045200713	0.417349622665323	0.0562724263850463	0.732482140746739	0.371840404067061	-1.8411431441668	-0.929681916084541	-1.11134975691776	-0.71030622610787	-0.013519200450044	-0.115601263770279	-0.370692021667318	-0.604282884368649	-0.182322531387582	1.67552526087927	-0.505359748320561	-0.347007447797415	-0.357967744524372	-0.41348515326523	-0.450550884014577	-0.376899166143662	0.155328414514673	0.378564195527167	-1.99810787850498	-1.92900265409118	-0.296553179497427	1.12427030987609	-0.300841349462655	-0.0171135873227906	-1.0223610043003	-0.363510628593022	-1.49487895497811	-1.33023094192426	-0.324806388838029	-1.57568992390973	-1.54627056852006	-1.25288150778384	-1.39001437861675	-1.55833796592651	-1.47606562409796	-1.40932221446707	-1.47963786895712	-1.8452689393657	-1.85487857326368	-2.19337091568235	-2.74853024174853	0.203088737827899	1.24109895424714	0.0946814392921752	0.70913707775188	0.360695590560188	0.913286443049956	1.12232919335138	1.50458891596591	1.65271898688176	0.934432066028226	2.54969195740509	1.50082477365564	1.4191945502212	1.26417093240772	1.26993523661227	0.204734627504743	-0.423736905557313	0.881852164423618	0.667524853545424	0.578543481599163	0.275109327364365	0.66486043124345	0.706760501626573	1.13461801089373	2.15962348466455	-0.423478582065432	0.0515414161480224	0.172901792633788	0.331874069537449	0.365943247780975	0.146552796461911	0.278408487389247	0.27407603339684	0.0499471911695559	1.23741599932003	1.41269955956819	0.334508969154636	0.546452323236327	-0.176831312017309	-0.418216163502253	-0.134613872772732	-0.379932622005466	-0.654242647698464	0.49117109597376	0.0195388258395461	0.0335768624554884	0.402543996244936	0.923523433999645	1.4863586581103	1.27924226299119	0.788590003183325	1.48879427960518	0.957924742447018	1.25325491970794	1.28330163214932	0.22673640834182	0.557390477949694
AURKA	0.0593965598021963	-0.103254451397328	-0.0348885851497274	0.0570577034933115	-1.11233390631932	-1.1860078800492	2.35486525692582	-1.12064780960481	-0.177741543140839	-1.12308716364572	-1.87618062279175	-1.01277719851495	-1.08138974101388	-0.787963771980847	-0.393354859116169	-0.264690353655128	-1.14821159665132	-0.395940391676381	-0.833516653059363	-0.125007642301449	-1.0826688030578	-1.2009272251758	-0.843913600244953	-1.03191744838649	0.474443056897248	-0.0118289237293149	-1.07712315548166	-0.14820434608371	-0.399320769935316	-0.403824895561411	0.61625449293831	0.490778506429616	0.199216313517724	-0.374433877023588	-0.101664759999883	-0.778370806651436	-0.235911457666895	-0.746668340277097	-0.546367224198999	-0.0354367545971218	-0.275461883296437	-0.408858918319987	-0.0067309478685422	0.221983617899525	0.255869625905986	0.955900282544193	-1.08483407237501	-0.897076900484802	-0.0312798029543771	-1.70816668716522	-1.77377343386093	-1.24838042700528	-1.06860825673212	-1.43577215259723	-1.77118790130072	-1.2048192282523	-0.452584567907188	-2.26308775492053	-0.767151605294754	-1.93925665387199	-2.07938703694104	0.290066263265972	0.552273982269869	1.45422285485599	2.2485203841312	0.693409342659143	1.42077538240744	0.369797509389561	0.285178419026701	1.38015602635548	1.02764652705073	0.305031289179853	1.55600878507976	1.55326793784279	1.46620949343902	1.01602533476596	1.48956151189805	-0.215674868900566	-0.34545398557131	1.54258776977605	0.468705550014515	0.663360520784446	0.393387067942455	0.853118511157648	0.988251416097949	0.0682403602201678	-0.360948908617673	0.423984059264548	-0.2360576361862	0.518287476531385	0.275530636752551	0.944142047897573	0.393396204099911	-0.138657061541583	0.0644031740884035	1.55855777301015	2.3244418525954	0.681404431761195	0.154613592814691	-0.609123489768259	-0.335459029313809	-0.61120653366836	-0.211435691840712	0.0283153521349053	-0.178134397911472	-0.308178463148457	-0.0868824572351335	-0.307082124253667	0.927030024981394	1.28016991915065	2.48651728587516	2.20082964220785	0.834361979899286	0.923686191352285	0.615514464184327	0.690997397090606	0.427474071412961	0.631064204175428
